Controlling Area;Costcenter;;Language Key
0100;1001001100;CC 1001001100;DE
0100;1001001200;CC 1001001200;DE
0100;1001001300;CC 1001001300;DE
0100;1001001400;CC 1001001400;DE
0100;1001001500;CC 1001001500;DE
0100;1001001600;CC 1001001600;DE
0100;1001001700;CC 1001001700;DE
0100;1001002000;CC 1001002000;DE
0100;1001002100;CC 1001002100;DE
0100;1001002200;CC 1001002200;DE
0100;1001002210;CC 1001002210;DE
0100;1001002220;CC 1001002220;DE
0100;1001002230;CC 1001002230;DE
0100;1001002240;CC 1001002240;DE
0100;1001002250;CC 1001002250;DE
0100;1001002300;CC 1001002300;DE
0100;1001002310;CC 1001002310;DE
0100;1001002320;CC 1001002320;DE
0200;1001001100;CC 1001001100;DE
0200;1001001200;CC 1001001200;DE
0200;1001001300;CC 1001001300;DE
0200;1001001400;CC 1001001400;DE
0200;1001001500;CC 1001001500;DE
0200;1001001600;CC 1001001600;DE
0200;1001001700;CC 1001001700;DE
0200;1001002000;CC 1001002000;DE
0200;1001002100;CC 1001002100;DE
0200;1001002200;CC 1001002200;DE
0200;1001002210;CC 1001002210;DE
0200;1001002220;CC 1001002220;DE
0200;1001002230;CC 1001002230;DE
0200;1001002240;CC 1001002240;DE
0200;1001002250;CC 1001002250;DE
0200;1001002300;CC 1001002300;DE
0200;1001002310;CC 1001002310;DE
0200;1001002320;CC 1001002320;DE
